Lp.;Nazwa Muzeum;Kod pocztowy;MiejscowoúÊ;Gmina;Powiat;WojewÛdztwo;ul./Aleja/Plac/;Ulica;Numer domu;Numer lokalu;Kod pocztowy (adres pocztowy jeúli nie wystÍpuje w komÛrkach C1-G1);MiejscoúÊ (adres dodatkowy );ul./Aleja/Plac (adres dodatkowy);Ulica i numer domu (adres dodatkowy);Numer domu (adres dodatkowy;Numer lokalu (adres dodatkowy);Nazwa Organizatora /Za≥oøyciela;Nazwa Organizatora I/Za≥oøyciela;Nazwa Organizatora II/Za≥oøyciela;Nazwa Organizatora III/Za≥oøyciela;Data wpisu do PaÒstwowego Rejestru MuzeÛw                                   (dotyczy Muzeum wpisanego do PaÒstwowego Rejestru MuzeÛw);Status muzeum
191;Muzeum Regionalne w PiÒczowie;28-400;PiÒczÛw;Gacki;piÒczowski;åWI TOKRZYSKIE;ul.;Pi≥sudskiego;2a;;;;;;;;Gmina PiÒczÛw;;;;;Samorzπdowe
192;Muzeum Regionalne w Pleszewie;63-300;Pleszew;Kowalew;pleszewski;WIELKOPOLSKIE;ul.;PoznaÒska;34;;;;;;;;Miasto i Gmina Pleszew;;;;;Samorzπdowe
193;Muzeum Regionalne w Pu≥tusku;06-100;Pu≥tusk;Pu≥tusk;pu≥tuski;MAZOWIECKIE;ul.;Rynek;1;;;;;;;;Gmina Pu≥tusk;;;;;Samorzπdowe
194;Muzeum Regionalne w Siedlcach;08-110;Siedlce;Siedlce;m. Siedlce;MAZOWIECKIE;ul.;Pi≥sudskiego;1;;;;;;;;WojewÛdztwo Mazowieckie;;;;;Samorzπdowe
195;Muzeum Regionalne w Skawinie;32-050;Skawina;RadziszÛw;krakowski;MA£OPOLSKIE;ul.;Adama Mickiewicza;26;;;;;;;;Miasto i Gmina Skawina;;;;;Samorzπdowe
196;Muzeum Regionalne w S≥upcy;62-400;S≥upca;S≥upca;s≥upecki;WIELKOPOLSKIE;ul.;Warszawska;53;;;;;;;;Gmina Miejska S≥upca;;;;;Samorzπdowe
197;Muzeum Regionalne w Stalowej Woli;37-464;Stalowa Wola;Stalowa Wola;stalowowolski;PODKARPACKIE;ul.;Sandomierska;1;;;;;;;;Gmina Stalowa Wola;;;;21.09.2005;Samorzπdowe
198;Muzeum Regionalne w StÍszewie;62-060;StÍszew;Strykowo;poznaÒski;WIELKOPOLSKIE;ul.;Rynek;8;;;;;;;;Gmina StÍszew;;;;;Samorzπdowe
199;Muzeum Regionalne w Szczecinku;78-400;Szczecinek;ØÛ≥tnica;szczecinecki;ZACHODNIO-POMORSKIE;ul.;Szkolna;1;;;;;;;;Miasto Szczecinek ;;;;;Samorzπdowe
200;Muzeum Regionalne w årodzie ålπskiej;55-300;åroda ålπska;Kostom≥oty;úredzki;DOLNOåL•SKIE;pl.;Wolnoúci;3;;;;;;;;Powiat åredzki;;;;;Samorzπdowe
201;Muzeum Regionalne w åwiebodzinie;66-200;åwiebodzin;åwiebodzin;úwiebodziÒski;LUBUSKIE;Plac;Jana Paw≥a II;1;;;;;;;;Gmina åwiebodzin;;;;;Samorzπdowe
202;Muzeum Regionalne w Trzebnicy;55-100;Trzebnica;Paw≥Ûw Trzebnicki;trzebnicki;DOLNOåL•SKIE;ul.;Rynek;8;;;;;;;;Gmina Trzebnica;;;;;Samorzπdowe
203;Muzeum Regionalne w Zwoleniu;26-700;ZwoleÒ;ZwoleÒ;zwoleÒski;MAZOWIECKIE;Aleja;Jana Paw≥a II;2;;;;;;;;Gmina ZwoleÒ;;;;;Samorzπdowe
204;Muzeum Regionalne Ziemi Limanowskiej ;34-600;Limanowa;Limanowa;limanowski;MA£OPOLSKIE;ul.;JÛzefa Marka;13;;;;;;;;Gmina Miasto Limanowa;;;;;Samorzπdowe
205;Muzeum Regionalne Ziemi Sulmierzyckiej im. Sebastiana Fabiana Klonowicza;63-750;Sulmierzyce;Chwaliszew;krotoszyÒski;WIELKOPOLSKIE;ul.;Rynek;1;;;;;;;;Miasto Sulmierzyce;;;;;Samorzπdowe
206;Muzeum Rolnictwa im. ks. Krzysztofa Klukaw Ciechanowcu;18-230;Ciechanowiec;Ciechanowiec;wysokomazowiecki;PODLASKIE;ul.;Pa≥acowa;5;;;;;;;;WojewÛdztwo Podlaskie;;;;28.12.1998;Samorzπdowe
207;Muzeum Romantyzmu w OpinogÛrze;06-406;OpinogÛra;OpinogÛra GÛrna;ciechanowski;MAZOWIECKIE;ul.;Zygmunta KrasiÒskiego;9;;;;;;;;Samorzπd WojewÛdztwa Mazowieckiego;;;;1.04.2015;Samorzπdowe
208;Muzeum Rzemios≥a w Kroúnie;38-400;Krosno;Krosno;m. Krosno;PODKARPACKIE;ul.;Pi≥sudskiego;19;;;;;;;;Gmina Krosno;;;;;Samorzπdowe
209;Muzeum Saturn w Czeladzi;41-250;Czeladü;Czeladü;bÍdziÒski;åL•SKIE;ul.;DehnelÛw;10;;;;;;;;Gmina Miejska Czeladü;;;;;Samorzπdowe
210;Muzeum Solca im. KsiÍcia Przemys≥a w†Solcu Kujawskim;86-050;Solec Kujawski;Solec Kujawski;bydgoski;KUJAWSKO-POMORSKIE;ul.;ToruÒska;8;;;;;;;;Miasto i Gmina Solec Kujawski;;;;;Samorzπdowe
211;Muzeum Sopotu;81-724;Sopot;Sopot;m. Sopot;POMORSKIE;ul.;Poniatowskiego;8;;;;;;;;Gmina Miasta Sopotu;;;;;Samorzπdowe
212;Muzeum Sportu i Turystyki w Karpaczu;58-540;Karpacz;Karpacz;jeleniogÛrski;DOLNOåL•SKIE;ul.;Miko≥aja Kopernika;2;;;;;;;;WojewÛdztwo Dolnoúlπskie;;;;;Samorzπdowe
213;Muzeum Sportu i Turystyki w†Warszawie;01-531;Warszawa;Warszawa (Øoliborz);m. st. Warszawa;MAZOWIECKIE;ul.;Wybrzeøe GdyÒskie;4;;;;;;;;WojewÛdztwo Mazowieckie;;;;28.12.1998;Samorzπdowe
214;Muzeum SprzÍtu Gospodarstwa Domowego w ZiÍbicach;57-220;ZiÍbice;ZiÍbice;zπbkowicki;DOLNOåL•SKIE;ul.;Rynek;44;;;;;;;;Gmina ZiÍbice;;;;;Samorzπdowe
215;Muzeum Staroøytnego Hutnictwa Mazowieckiego im. Stefana Woydy w Pruszkowie;05-800;PruszkÛw;PruszkÛw;pruszkowski;MAZOWIECKIE;pl.;Jana Paw≥a II;2;;;;;;;;Miasto PruszkÛw;;;;;Samorzπdowe
216;Muzeum Szlachty Mazowieckiej w Ciechanowie;06-400;CiechanÛw;CiechanÛw;ciechanowski;MAZOWIECKIE;ul.;Warszawska;61;;;;;;;;WojewÛdztwo Mazowieckie;;;;28.12.1998;Samorzπdowe
217;Muzeum Sztuki WspÛ≥czesnej w†Krakowie (w organizacji);30-702;KrakÛw;KrakÛw (KrakÛw-PodgÛrze);m. KrakÛw;MA£OPOLSKIE;ul.;Lipowa;4;;;;;;;;Gmina Miejska KrakÛw;;;;;Samorzπdowe
218;Muzeum ålπska CieszyÒskiego w†Cieszynie;43-400;Cieszyn;Cieszyn;cieszyÒski;åL•SKIE;ul.;Tadeusza Regera;6;;;;;;;;Powiat CieszyÒski;;;;;Samorzπdowe
219;Muzeum ålπska Opolskiego w Opolu;45-023;Opole;Opole;m. Opole;OPOLSKIE;ul.;úw. Wojciecha;13;;;;;;;;WojewÛdztwo Opolskie;;;;28.12.1998;Samorzπdowe
220;Muzeum ålÍøaÒskie im. Stanis≥awa Dunajewskiego w SobÛtce;55-050;SobÛtka;SobÛtka;wroc≥awski;DOLNOåL•SKIE;ul.;úw. Jakuba;18;;;;;;;;Gmina SobÛtka;;;;;Samorzπdowe
221;Muzeum ålusarstwa im. Marcina Miku≥y w åwiπtnikach GÛrnych;32-040;åwiπtniki GÛrne;åwiπtniki GÛrne;krakowski;MA£OPOLSKIE;ul.;Kazimierza Bruchnalskiego;35;;;;;;;;Miasto i Gmina åwiπtniki GÛrne;;;;;Samorzπdowe
222;Muzeum åremskie w åremie;63-100;årem;Manieczki;úremski;WIELKOPOLSKIE;ul.;Adama Mickiewicza;89;;;;;;;;Miasto i Gmina  årem;;;;;Samorzπdowe
223;Muzeum TatrzaÒskie im. dra Tytusa Cha≥ubiÒskiego w Zakopanem;34-500;Zakopane;Zakopane;tatrzaÒski;MA£OPOLSKIE;ul.;KrupÛwki;10;;;;;;;;WojewÛdztwo Ma≥opolskie;;;;07.07.2006;Samorzπdowe
224;Muzeum Technik Ceramicznych w Kole;62-600;Ko≥o;Ko≥o;kolski;WIELKOPOLSKIE;ul.;M. Kajki;44;;;;;;;;Gmina Miejska Ko≥o;;;;;Samorzπdowe
225;Muzeum Techniki i Komunikacji - Zajezdnia Sztuki w Szczecinie;71-441;Szczecin;Szczecin;m. Szczecin;ZACHODNIO-POMORSKIE;ul.;NiemierzyÒska;18A;;;;;;;;Gmina Miasto Szczecin;;;;;Samorzπdowe
226;Muzeum Tkactwa w Kamiennej GÛrze;58-400;Kamienna GÛra;Kamienna GÛra;kamiennogÛrski;DOLNOåL•SKIE;Plac;Wolnoúci;11;;;;;;;;Gmina Miejska Kamienna GÛra;;;;;Samorzπdowe
227;Muzeum Tradycji Niepodleg≥oúciowych w £odzi;90-706;£Ûdü;£Ûdü (£Ûdü-Polesie);m. £Ûdü;£”DZKIE;ul.;GdaÒska;13;;;;;;;;Miasto £Ûdü;;;;;Samorzπdowe
228;Muzeum Twierdzy Kostrzyn nad Odrπ;66-470;Kostrzyn nad Odrπ;Kostrzyn nad Odrπ;gorzowski;LUBUSKIE;ul.;ChyøaÒska;48;;;;;;;;Miasto Kostrzyn nad Odrπ;;;;;Samorzπdowe
229;Muzeum UstroÒskie im. Jana Jarockiego w Ustroniu;43-450;UstroÒ;UstroÒ;cieszyÒski;åL•SKIE;ul.;Hutnicza;3;;;;;;;;Miasto UstroÒ;;;;;Samorzπdowe
230;Muzeum w Brodnicy;87-300;Brodnica;Brodnica;brodnicki;KUJAWSKO-POMORSKIE;ul.;úw. Jakuba;1;;;;;;;;Miasto Brodnica;;;;;Samorzπdowe
231;Muzeum w Chorzowie;41-500;ChorzÛw;ChorzÛw;m. ChorzÛw;åL•SKIE;ul.;PowstaÒcÛw;25;;;;;;;;Miasto ChorzÛw ;;;;;Samorzπdowe
232;Muzeum w Chrzanowie im. Ireny i†Mieczys≥awa Mazarakich;32-500;ChrzanÛw;ZagÛrze;chrzanowski;MA£OPOLSKIE;ul.;Mickiewicza;13;;;;;;;;Gmina ChrzanÛw;;;;;Samorzπdowe
233;Muzeum w Gliwicach;44-100;Gliwice;Gliwice;m. Gliwice;åL•SKIE;ul.;Dolnych WalÛw;8a;;;;;;;;Miasto Gliwice;;;;;Samorzπdowe
234;Muzeum w Jaros≥awiu Kamienica Orsettich;37-500;Jaros≥aw;Jaros≥aw;jaros≥awski;PODKARPACKIE;ul.;Rynek;4;;;;;;;;Powiat Jaros≥awski;;;;;Samorzπdowe
235;Muzeum w Koszalinie;75-420;Koszalin;Koszalin;m. Koszalin;ZACHODNIO-POMORSKIE;ul.;M≥yÒska;37-;39;;;;;;;Miasto Koszalin;;;;30.12.2009;Samorzπdowe
236;Muzeum w Lewkowie - ZespÛ≥ Pa≥acowo - Parkowy ;63-410;LewkÛw;OstrÛw Wielkopolski;ostrowski ;WIELKOPOLSKIE;ul. ;Kwiatkowska ;6c;;;;;;;;WojewÛdztwo Wielkopolskie;;;;;samorzπdowe 
237;Muzeum w LÍborku;84-300;LÍbork;Maszewo LÍborskie;lÍborski;POMORSKIE;ul.;M≥ynarska;14-;15;;;;;;;Gmina Miasto LÍbork;;;;;Samorzπdowe
238;Muzeum w £Íczycy;99-100;£Íczyca;Mazew;≥Íczycki;£”DZKIE;ul.;Zamkowa;1;;;;;;;;Gmina Miasto £Íczyca;;;;;Samorzπdowe
239;Muzeum w £owiczu;99-400;£owicz;£owicz;≥owicki;£”DZKIE;ul.;Stary Rynek;5;7;;;;;;;Powiat £owicki; Minister Rolnictw a i Rozwoju Wsi ;;;28.12.1999;Samorzπdowe
240;Muzeum Powiatowe w Nysie;48-300;Nysa;Jasienica Dolna;nyski;OPOLSKIE;ul.; Biskupa Jaros≥awa;11;;;;;;;;Powiat Nyski;;;;;Samorzπdowe
241; Muzeum Regionalne w OstrÛdzie;14-100;OstrÛda;OstrÛda;ostrÛdzki;WARMI—SKO-MAZURSKIE;ul.;Adama Mickiewicza;22;;;;;;;;Gmina Miejska OstrÛda ;;;;;Samorzπdowe
242;Muzeum w Piotrkowie Trybunalskim;97-300;PiotrkÛw Trybunalski;PiotrkÛw Trybunalski;m. PiotrkÛw Trybunalski;£”DZKIE;Plac;Zamkowy;4;;;;;;;;Miasto PiotrkÛw Trybunalski;;;;;Samorzπdowe
243;Muzeum w Praszce;46-320;Praszka;Strojec;oleski;OPOLSKIE;pl.;Grunwaldzki;15;;;;;;;;Gmina Praszka;;;;;Samorzπdowe
244;Muzeum w Przeworsku - ZespÛ≥ Pa≥acowo-Parkowy;37-200;Przeworsk;Przeworsk;przeworski;PODKARPACKIE;ul.;Park;2;;;;;;;;Powiat Przeworski;;;;;Samorzπdowe
245;Muzeum w Raciborzu;47-400;RacibÛrz;Wojnowice;raciborski;åL•SKIE;ul.;Rzeünicza;15;;;;;;;;Gmina RacibÛrz;;;;;Samorzπdowe
246;Muzeum w Rybniku;44-200;Rybnik;Rybnik;m. Rybnik;åL•SKIE;ul.;Rynek;18;;;;;;;;Miasto Rybnik;;;;;Samorzπdowe
247;Muzeum w Tarnowskich GÛrach;42-600;Tarnowskie GÛry;Tarnowskie GÛry (Repty);tarnogÛrski;åL•SKIE;ul.;Rynek;1;;;;;;;;Gmina Tarnowskie GÛry;;;;;Samorzπdowe
248;Muzeum w Tomaszowie Mazowieckim imienia Antoniego Hrabiego Ostrowskiego;97-200;TomaszÛw Mazowiecki;TomaszÛw Mazowiecki;tomaszowski;£”DZKIE;ul.;Polskiej Organizacji Wojskowej ;11;15;;;;;;;Gmina - Miasto TomaszÛw Mazowiecki;;;;;Samorzπdowe
249;Muzeum Porcelany w Wa≥brzychu;58-300;Wa≥brzych;Szczawno-ZdrÛj;wa≥brzyski;DOLNOåL•SKIE;ul.;1 Maja;9;;;;;;;;Gmina Wa≥brzych;;;;28.11.2002;Samorzπdowe
250;Muzeum w Wodzis≥awiu ålπskim;44-300;Wodzis≥aw ålπski;Wodzis≥aw ålπski;wodzis≥awski;åL•SKIE;ul.;Ks. p≥k. Wilhelma Kubsza;2;;;;;;;;Miasto Wodzis≥aw ålπski;;;;;Samorzπdowe
251;Muzeum Warmii i Mazur w Olsztynie;10-074;Olsztyn;Olsztyn;m. Olsztyn;WARMI—SKO-MAZURSKIE;ul.;Zamkowa;2;;;;;;;;WojewÛdztwo WarmiÒsko ñ Mazurskie ;;;;07.07.2006;Samorzπdowe
252;Muzeum Warszawy;00-272;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;Rynek Starego Miasta;28-;42;;;;;;;Miasto Sto≥eczne Warszawa;;;;14.12.2001;Samorzπdowe
253;Muzeum Wojska w Bia≥ymstoku ;15-089;Bia≥ystok;Bia≥ystok;m. Bia≥ystok;PODLASKIE;ul.;Jana KiliÒskiego;7;;;;;;;;Miasto Bia≥ystok ;;;;;Samorzπdowe
254;Muzeum Wojska, Wojskowowúci i Ziemi Orzyskiej w Orzyszu w organizacji;12-250;Orzysz;Orzysz;piski;WARMI—SKO-MAZURSKIE;ul.;Giøycka;9;;;;;;;;Gmina Orzysz;;;;;Samorzπdowe
255;Muzeum Wsi Kieleckiej w Kielcach ;25-025;Kielce;Kielce;m. Kielce;åWI TOKRZYSKIE;ul.;Jana Paw≥a II;6;;;;;;;;WojewÛdztwo åwiÍtokrzyskie; Minister Rolnictwa i Rozwoju Wsi ;;;28.12.1999;Samorzπdowe
256;Muzeum Wsi Lubelskiej w Lublinie;20-824;Lublin;Lublin;m. Lublin;LUBELSKIE;al.;Warszawska;96;;;;;;;;WojewÛdztwo Lubelskie;Minister Rolnictwa i Rozwoju Wsi  ;;;14.12.2001;Samorzπdowe
257;Muzeum Wsi Mazowieckiej w Sierpcu;09-200;Sierpc;Goleszyn;sierpecki;MAZOWIECKIE;ul.;Gabriela Narutowicza;64;;;;;;;;Samorzπd WojewÛdztwa Mazowieckiego;;;;12.02.2014;Samorzπdowe
258;Muzeum Wsi Opolskiej w Opolu;45-835;Opole;Opole;m. Opole;OPOLSKIE;ul.;Wroc≥awska;174;;;;;;;;WojewÛdztwo Opolskie;;;;28.12.1998;Samorzπdowe
259;Muzeum Wsi Radomskiej w Radomiu;26-600;Radom;Radom;m. Radom;MAZOWIECKIE;ul.;Szyd≥owiecka;30;;;;;;;;Samorzπd WojewÛdztwa Mazowieckiego;;;;;Samorzπdowe
260;Muzeum WspÛ≥czesne Wroc≥aw  (w†organizacji);53-681;Wroc≥aw;Wroc≥aw (Wroc≥aw-Stare Miasto);m. Wroc≥aw;DOLNOåL•SKIE;Plac;Strzegomski;2a;;;;;;;;Gmina Wroc≥aw;;;;;Samorzπdowe
261;Muzeum Zabawek i Zabawy w Kielcach;25-367;Kielce;Kielce;m. Kielce;åWI TOKRZYSKIE;Plac;Wolnoúci;2;;;;;;;;Miasto Kielce;;;;;Samorzπdowe
262;Muzeum Zachodniokaszubskie w†Bytowie;77-100;BytÛw;BytÛw;bytowski;POMORSKIE;ul.;Zamkowa;2;;;;;;;;WojewÛdztwo Pomorskie ;;;;26.06.2012 ;Samorzπdowe
263;Muzeum Zag≥Íbia w BÍdzinie;42-500;BÍdzin;BÍdzin;bÍdziÒski;åL•SKIE;ul.;åwierczewskiego;15;;;;;;;;Gmina BÍdzin;;;;;Samorzπdowe
264;Muzeum - Zamek GÛrkÛw w†Szamotu≥ach;64-500;Szamotu≥y;OstrorÛg;szamotulski;WIELKOPOLSKIE;ul.;Wroniecka;30;;;;;;;;Powiat Szamotulski;;;;06.07.1998;Samorzπdowe
265;Zamek Ksiπøπt Pomorskich - Muzeum w†Dar≥owie;76-150;Dar≥owo;Dar≥owo;s≥awieÒski;ZACHODNIO-POMORSKIE;Plac;Zamkowy;4;;;;;;;;Powiat S≥awieÒski;;;;;Samorzπdowe
266;Muzeum Zamek OpaliÒskich w†Sierakowie;64-410;SierakÛw;Chrzypsko Wielkie;miÍdzychodzki;WIELKOPOLSKIE;ul.;Stadnina;3a;;;;;;;;Powiat MiÍdzychodzki;;;;;Samorzπdowe
267;Muzeum - Zamek w Oporowie;99-322;OporÛw;OporÛw;kutnowski;£”DZKIE;;OporÛw;34;;;;;;;;Powiat Kutnowski;;;;22.02.2007;Samorzπdowe
268;Muzeum Zamek w OúwiÍcimiu ;32-600;OúwiÍcim;OúwiÍcim;oúwiÍcimski;MA£OPOLSKIE;ul.;Zamkowa;1;;;;;;;;Gmina Miasto OúwiÍcim;;;;;Samorzπdowe
269;Muzeum Zamkowe w Pszczynie;43-200;Pszczyna;GÛra;pszczyÒski;åL•SKIE;ul.;Brama WybraÒcÛw;1;;;;;;;;WojewÛdztwo ålπskie;;;;06.07.1998;Samorzπdowe
270;Muzeum Zamojskie w Zamoúciu;22-400;ZamoúÊ;ZamoúÊ;m. ZamoúÊ;LUBELSKIE;ul.;OrmiaÒska;30;;;;;;;;Miasto ZamoúÊ;;;;26.06.2012;Samorzπdowe
271;Muzeum Zamoyskich w Koz≥Ûwce;21-132;Kamionka;Kamionka;lubartowski;LUBELSKIE;ul.;Koz≥Ûwka;3;;;;;;;;WojewÛdztwo Lubelskie;;;;18.05.1998;Samorzπdowe
272;Muzeum Zbrojownia na Zamku w Liwie;07-100;Liw (poczta WÍgrÛw);Starawieú;wÍgrowski;MAZOWIECKIE;ul.;Stefana Batorego;2;;;;;;;;WojewÛdztwo Mazowieckie;;;;;Samorzπdowe
273;Muzeum Ziemi Bieckiej;38-340;Biecz;Biecz;gorlicki;MA£OPOLSKIE;ul.;WÍgierska;1;;;;;;;;Gmina Biecz;;;;;Samorzπdowe
274;Muzeum Ziemi Bi≥gorajskiej w†Bi≥goraju;23-400;Bi≥goraj;Bi≥goraj;bi≥gorajski;LUBELSKIE;ul.;Koúciuszki;87;;;;;;;;Powiat Bi≥gorajski;;;;;Samorzπdowe
275;Muzeum Ziemi Che≥mskiej im. Wiktora Ambroziewicza w Che≥mie;22-100;Che≥m;Che≥m;m. Che≥m;LUBELSKIE;ul.;Lubelska;55;;;;;;;;Miasto Che≥m;;;;28.12.1998;Samorzπdowe
276;Muzeum Ziemi DobrzyÒskiej w Rypinie ;87-500;Rypin;Brzuze;rypiÒski;KUJAWSKO-POMORSKIE;ul.;Wroc≥awska;20;;;;;;;;Miasto Rypin ;;;;;Samorzπdowe
277;Muzeum Ziemi KÍpiÒskiej  im. Tadeusza Piotra Potworowskiego w KÍpnie ;63-600;KÍpno;KÍpno;kÍpiÒski;WIELKOPOLSKIE;ul.;Kwiatowa;13;;;;;;;;Gmina KÍpno;;;;;Samorzπdowe
278;Muzeum Ziemi K≥odzkiej w K≥odzku;57-300;K≥odzko;K≥odzko;k≥odzki;DOLNOåL•SKIE;ul.;£ukasiewicza;4;;;;;;;;Gmina Miasto K≥odzko;;;;14.12.2001;Samorzπdowe
279;Muzeum Ziemi Koszyckiej im. Stanis≥awa Boducha w Koszycach;32 -130; Koszyce;Koszyce;proszowicki;MA£OPOLSKIE;ul.;WspÛlna;11;;;;;;;;Gmina Koszyce;;;;;Samorzπdowe
280;Muzeum Ziemi Koúcierskiej im. dra Jerzego Knyby w Koúcierzynie;83-400;Koúcierzyna;Koúcierzyna;koúcierski;POMORSKIE;ul.;Rynek;9;;;;;;;;Gmina Miejska Koúcierzyna;;;;;Samorzπdowe
281;Muzeum Ziemi Kozielskiej w†KÍdzierzynie Koülu  (w organizacji);47-200;KÍdzierzyn-Koüle;KÍdzierzyn-Koüle (K≥odnica);kÍdzierzyÒsko-kozielski;OPOLSKIE;ul.;JÛzefa Ignacego Kraszewskiego;5b;;;;;;;;Gmina KÍdzierzyn-Koüle;;;;;Samorzπdowe
282;Muzeum Ziemi KrajeÒskiej w Nakle nad Noteciπ;89-100;Nak≥o nad Noteciπ;Paterek;nakielski;KUJAWSKO-POMORSKIE;ul.;Pocztowa;14;;;;;;;;Gmina Nak≥o nad Noteciπ;;;;;Samorzπdowe
283;Muzeum Ziemi Kujawskiej i†DobrzyÒskiej we W≥oc≥awku;87-800;W≥oc≥awek;W≥oc≥awek;m. W≥oc≥awek;KUJAWSKO-POMORSKIE;ul.;S≥owackiego;1a;;;;;;;;WojewÛdztwo Kujawsko-Pomorskie;;;;06.07.1998;Samorzπdowe
284;Muzeum Ziemi Leøajskiej;37-300;Leøajsk;Leøajsk;leøajski;PODKARPACKIE;ul.;Mickiewicza;20A;;;;;;;;Powiat Leøajski;;;;;Samorzπdowe
285;Muzeum Ziemi Lubartowskiej w†Lubartowie (w organizacji);21-100;LubartÛw;LubartÛw;lubartowski;LUBELSKIE;ul.;Koúciuszki;28;;;;;;;;Miasto LubartÛw ;;;;;Samorzπdowe
286;Muzeum Ziemi Lubuskiej w Zielonej GÛrze;65-048;Zielona GÛra;Zielona GÛra;m. Zielona GÛra;LUBUSKIE;al.;Niepodleg≥oúci;15;;;;;;;;WojewÛdztwo Lubuskie;;;;18.05.1998;Samorzπdowe
287;Muzeum Ziemi Miechowskiej w†Miechowie (w†organizacji) ;32-200;MiechÛw;Wysocice;miechowski;MA£OPOLSKIE;ul.;Warszawska;1;;;;;;;;Gmina MiechÛw; Powiat Miechowski; parafia Rzymsko-Katolicka przy Bazylice Grobu Boøego w Miechowie ;;;Samorzπdowe
288;Muzeum Ziemi MiÍdzyrzeckiej  im. Alfa Kowalskiego ;66-300;MiÍdzyrzec;MiÍdzyrzecz;miÍdzyrzecki;LUBUSKIE;ul.;Podzamcze;2;;;;;;;;Powiat MiÍdzyrzecki ;;;;28.12.1998 ;Samorzπdowe
289;Muzeum Ziemi MiÒskiej w MiÒsku Mazowieckim ;05-300;MiÒsk Mazowiecki;MiÒsk Mazowiecki;miÒski;MAZOWIECKIE;ul.;S. Okrzei;16;;;;;;;;Miasto MiÒsk Mazowiecki;;;;;Samorzπdowe
290;Muzeum Ziemi MogileÒskiej w†Mogilnie z siedzibπ w Chabsku;88-342;Chabsko (poczta Wylatowo);£osoúniki;mogileÒski;KUJAWSKO-POMORSKIE;ul.;Chabsko;20;;;;;;;;Gmina Mogilno;;;;;Samorzπdowe
291;Muzeum Ziemi Nadnoteckiej im. Wiktora Stachowiaka w Trzciance;64-980;Trzcianka;Trzcianka;czarnkowsko-trzcianecki;WIELKOPOLSKIE;ul.;Øeromskiego;36a;;;;;;;;Gmina Trzcianka;;;;;Samorzπdowe
292;Muzeum Ziemi Pa≥uckiej w Øninie;88-400;Ønin;Biskupin;øniÒski;KUJAWSKO-POMORSKIE;Plac;Wolnoúci;1;;;;;;;;Gmina Ønin;;;;;Samorzπdowe
293;Muzeum Ziemi Piskiej w Piszu;12-200;Pisz;Pisz;piski;WARMI—SKO-MAZURSKIE;Plac;Ignacego DaszyÒskiego;7;;;;;;;;Gmina Pisz;;;;;Samorzπdowe
294;Muzeum Ziemi Prudnickiej w Prudniku;48-200;Prudnik;£πcznik;prudnicki;OPOLSKIE;ul.;Chrobrego;5†;;;;;;;;Gmina Prudnik;;;;;Samorzπdowe
295;Muzeum Ziemi Puckiej im. Floriana Ceynowy w Pucku;84-100;Puck;Swarzewo;pucki;POMORSKIE;ul.;Wolnoúci;28;;;;;;;;Powiat Pucki;;;;07.07.2006;Samorzπdowe
296;Muzeum Ziemi Rawickiej w Rawiczu;63 -900;Rawicz;Rawicz;rawicki;WIELKOPOLSKIE;ul.;Rynek;1;;;;;;;;Gmina Rawicz;;;;;Samorzπdowe
297;Muzeum Ziemi Rawskiej w Rawie Mazowieckiej;96-200;Rawa Mazowiecka;Rawa Mazowiecka;rawski;£”DZKIE;ul.;£owicka;26;;;;;;;;Miasto Rawa Mazowiecka;;;;;Samorzπdowe
298;Muzeum Ziemi SadowieÒskiej w Sadownem;07-140;Sadowne;Sadowne;wÍgrowski;MAZOWIECKIE;ul.;Koúciuszki;74;;;;;;;;Gmina Sadowne ;;;;;Samorzπdowe
299;Muzeum Ziemi SzubiÒskiej im. Zenona Erdmanna w Szubinie;89-200;Szubin;Szubin;nakielski;KUJAWSKO-POMORSKIE;ul.;Szkolna;2;;;;;;;;Gmina Szubin;;;;;Samorzπdowe
300;Muzeum Ziemi åredzkiej - ÑDwÛr w†Koszutachî;63-000;åroda Wielkopolska;Dominowo;úredzki;WIELKOPOLSKIE;ul.;Koszuty;27;;;;;;;;Gmina åroda Wielkopolska;;;;;Samorzπdowe
301;Muzeum Ziemi Wa≥eckiej w Wa≥czu;78-600;Wa≥cz;Miros≥awiec;wa≥ecki;ZACHODNIO-POMORSKIE;ul.;Pocztowa;14;;;;;;;;Gmina Miejska Wa≥cz;;;;;Samorzπdowe
302;Muzeum Ziemi WieluÒskiej w Wieluniu;98-300;WieluÒ;WieluÒ;wieluÒski;£”DZKIE;ul.;Narutowicza;13;;;;;;;;Gmina WieluÒ;;;;18.12.2003;Samorzπdowe
303;Muzeum Ziemi Wiúnickiej w Nowym Wiúniczu;32-720;Nowy Wiúnicz;Nowy Wiúnicz;bocheÒski;MA£OPOLSKIE;ul.;Zamkowa;13;;;;;;;;Gmina Nowy Wiúnicz;;;;;Samorzπdowe
304;Muzeum Ziemi Wschowskiej ;67-400;Wschowa;Wschowa;wschowski;LUBUSKIE;pl.;Zamkowy;2;;;;;;;;Gmina Wschowa;;;;;Samorzπdowe
