Lp.;Nazwa Muzeum;Kod pocztowy;MiejscowoúÊ;Gmina;Powiat;WojewÛdztwo;ul./Aleja/Plac/;Ulica;Numer domu;Numer lokalu;Kod pocztowy (adres pocztowy jeúli nie wystÍpuje w komÛrkach C1-G1);MiejscoúÊ (adres dodatkowy );ul./Aleja/Plac (adres dodatkowy);Ulica i numer domu (adres dodatkowy);Numer domu (adres dodatkowy;Numer lokalu (adres dodatkowy);Nazwa Organizatora /Za≥oøyciela;Nazwa Organizatora I/Za≥oøyciela;Nazwa Organizatora II/Za≥oøyciela;Nazwa Organizatora III/Za≥oøyciela;Data wpisu do PaÒstwowego Rejestru MuzeÛw                                   (dotyczy Muzeum wpisanego do PaÒstwowego Rejestru MuzeÛw);Status muzeum
114;Muzeum Miejskie w Øorach;44-240;Øory;Øory;m. Øory;åL•SKIE;ul.;Muzealna;1;2;;;;;;;Gmina Miejska Øory;;;;;Samorzπdowe
115;Muzeum Miejskie w Øywcu;34-300;Øywiec;Øywiec;øywiecki;åL•SKIE;ul.;Zamkowa;2;;;;;;;;Miasto Øywiec ;;;;;Samorzπdowe
116;"Muzeum Miejskie ""Dom Gerharta Hauptmanna""  w Jeleniej GÛrze";58-570;Jelenia GÛra;Jelenia GÛra;m. Jelenia GÛra;DOLNOåL•SKIE;ul.;Micha≥owicka;32;;;;;;;;Miasto Jelenia GÛra;;;;;Samorzπdowe
117;"Muzeum Miejskie ""Sztygarka"" w†Dπbrowie GÛrniczej";41-300;Dπbrowa GÛrnicza;Dπbrowa GÛrnicza;m. Dπbrowa GÛrnicza;åL•SKIE;ul.;LegionÛw Polskich;69;;;;;;;;Miasto Dπbrowa GÛrnicza;;;;;Samorzπdowe
118;Muzeum Miejskie im. Maksymiliana Chroboka w Rudzie ålπskiej;41-700;Ruda ålπska;Ruda ålπska;m. Ruda ålπska;åL•SKIE;ul.;Wolnoúci;26;;;;;;;;Miasto Ruda ålπska;;;;;Samorzπdowe
119;Muzeum Miejskie Wroc≥awia;50-107;Wroc≥aw;Wroc≥aw (Wroc≥aw-Stare Miasto);m. Wroc≥aw;DOLNOåL•SKIE;ul.;Sukiennice;14;15;;;;;;;Gmina Wroc≥aw;;;;;Samorzπdowe
120;Muzeum Miko≥aja Kopernika we†Fromborku;14-530;Frombork;Frombork;braniewski;WARMI—SKO-MAZURSKIE;ul.;Katedralna;8;;;;;;;;WojewÛdztwo WarmiÒsko ñ Mazurskie ;;;;30.12.2009;Samorzπdowe
121;Muzeum - NadwiúlaÒski Park Etnograficzny w Wygie≥zowie i Zamek Lipowiec;32-551;Babice Wygie≥zÛw;Babice;chrzanowski;MA£OPOLSKIE;ul.;Podzamcze;1;;;;;;;;WojewÛdztwo Ma≥opolskie; Gmina ChrzanÛw ;;;31.01.2011;Samorzπdowe
122;Muzeum NadwiúlaÒskie  w Kazimierzu Dolnym;24-120;Kazimierz Dolny;Kazimierz Dolny;pu≥awski;LUBELSKIE;ul.;Rynek;19;;;;;;;;WojewÛdztwo Lubelskie; Miasto Pu≥awy;;;28.12.1998;Samorzπdowe
123;Muzeum Narodowe Rolnictwa i†Przemys≥u Rolno-Spoøywczego w Szreniawie;62-052;Komorniki;Walerianowo;poznaÒski;WIELKOPOLSKIE;ul.;Dworcowa;5;;;;;;;;WojewÛdztwo Wielkopolskie; Minister Rolnictwa i†Rozwoju Wsi;;;28.12.1998;Samorzπdowe
